name,steam_appid
Chickamauga Battles,1329630
Adventure In Aellion,1050580
Fuhrer in LA - Special Edition,1341960
A Lozenge,1354100
Glitch's Trip,610250
Slash Roll,1269540
Milk inside a bag of milk inside a bag of milk,1392820
"""draw a card"" -Simulator",1377600
President's Sniper Shooting,1380500
Home Designer - Living Room,1393640
Isolated Life,1374740
Otti: house keeper,1375510
Defense of the Oasis,45200
Disease -Hidden Object-,1324010
Combat Mech VR,1333500
Maverick,1179880
Path of the Martyrs,1381460
Dark Fracture: Prologue,1389160
Xtreme Typing,1145220
Tomb Typing,1145200
PANIC STATION,1386980
Kandagawa Jet Girls,1233800
Street Power Football,1275760
Blender Bros,1137680
Whiskers & Tail,1343450
Girabox,1345040
Shing!,1103730
Parabolus Two,1303640
En-Train,1337030
Windbound,1162130
RealFit (VR fitness),1346300
Ice star Chapter 2,1392660
Mahjong Carnaval,1394760
The Lightbringers,644860
4 Civilizations,1379370
Sensorium,1307870
Balconing Simulator 2020,1383010
Terraforming Earth,1029220
Rave Heart,1375880
Refraction,1366060
Seek Girl V,1393410
Ninja Castle Escape,1387450
Nexomon: Extinction,1196630
Craft city,1308060
Project:Pong,1377930
Halloween World,1391400
Stick Knight Takes Over the Universe,1376520
Jane Skriff,1334510
The logic inside,1392510
Wasteland 3,719040
Langton's Ant,1123090
Speechless,1369350
CYNOROID GAIDEN,1372380
サチ江 -死道-/Sachie -Death Road-,1386910
Roast Party,1193560
Move Code Lines,1300310
Stone Rage,640860
Bubble Bounce,1256980
Tiki Tiki: The Tropical Memory Game,1300950
Seek Girl:Fog Ⅰ,1263370
Projectile Dysfunction,1351950
Astero,1391620
You Can Pet The Dog VR,1394140
Fatal Evidence: Art of Murder Collector's Edition,1406610
Japanese Romaji Adventure,1388720
Warrecs 2,1360500
Dream Knights,1392570
Traurig Secrets: Prologue,1355050
Croppy Boy,1369400
BMX The Game,987150
IxSHE Tell,1340120
Immortal Realms: Vampire Wars,1024480
Operation: Tango - Friend Pass,1377150
Prisoner 518,1121550
A-Star Theft,1354750
Zombie Frenzy,1360250
Combat Mission Shock Force 2,1369370
PBA Basketball Slam: Arcade Edition,1372990
Memory Battle,1366710
Drive or Die,1364500
Greyhat - A Digital Detective Adventure,1247940
Wordle 2,1386730
Queen's Garden 2,1386210
Sapper,1267120
Carnival VR Orientation,1333590
Egypt Picross Pharaohs Riddles,1395000
POLAR,1375300
Kitty Rainbow,1389580
1980,1397010
Where in the World is Carmen Sandiego?,1246950
Legion's Crawl 2,1237900
Hidden Valley Tower Defense,1362130
"VR Time Machine Travelling in history: Visit ancient Egypt, Babylon and Greece in B.C. 400",1397230
Liege Dragon,1350920
Endurance - space action,1378390
Code Arcturus,1264410
Rebel Reenactment: Battle of the Wilderness,1350540
Invasion Resistance 2,1394600
Graffiti Bombing,561440
Space Cube Racers,1371860
Apparitions: Kotsmine Hills,1305880
